SAMPLE_ID	R1_Reads	R2_Reads2
AOCS-OV-1034-01	705632872	705632872
AOCS-OV-1034-02	630293080	630293080
AOCS-OV-1064-01	800836232	800836232
AOCS-OV-1064-02	676491424	676491424
AOCS-OV-1065-01	659645288	659645288
AOCS-OV-1065-02	635721864	635721864
AOCS-OV-1086-01	836951460	836951460
AOCS-OV-1086-02	855279488	855279488
AOCS-OV-1088-01	734353424	734353424
AOCS-OV-1088-02	659736196	659736196
AOCS-OV-1091-01	717965464	717965464
AOCS-OV-1091-02	801412240	801412240
AOCS-OV-1092-01	897532664	897532664
AOCS-OV-1092-02	692053968	692053968
