SAMPLE_ID	R1_Reads	R2_Reads2
OVCA_01_E1	247787192	247787192
OVCA_07_L1	223311224	223311224
OVCA_14_E1	285696528	285696528
OVCA_01_L1	271849396	271849396
OVCA_08_E1	209838700	209838700
OVCA_14_L1	201660040	201660040
OVCA_02_E1	261157988	261157988
OVCA_08_L1	193731028	193731028
OVCA_15_E1	263602608	263602608
OVCA_02_L1	239230684	239230684
OVCA_09_E1	234601412	234601412
OVCA_15_L1	248335028	248335028
OVCA_03_E1	245964600	245964600
OVCA_09_L1	237397088	237397088
OVCA_16_E1	232264140	232264140
OVCA_03_L1	225251308	225251308
OVCA_10_E1	163065508	163065508
OVCA_16_L1	226337388	226337388
OVCA_03_L2	420962848	420962848
OVCA_10_L1	188532072	188532072
OVCA_16_L1	226337388	226337388
OVCA_04_E1	237775352	237775352
OVCA_11_E1	192025396	192025396
OVCA_17_E1	236958044	236958044
OVCA_04_L1	222155528	222155528
OVCA_11_L1	194838008	194838008
OVCA_17_L1	254330704	254330704
OVCA_05_E1	260975840	260975840
OVCA_12_E1	216234512	216234512
OVCA_18_E1	254476720	254476720
OVCA_05_L1	279280676	279280676
OVCA_12_L1	282334724	282334724
OVCA_18_L1	254498508	254498508
OVCA_06_E1	239567052	239567052
OVCA_13_E1	528233664	528233664
OVCA_19_E1	363038004	363038004
OVCA_06_L1	158101600	158101600
OVCA_13_L1	230713592	230713592
OVCA_19_L1	234712788	234712788
